provinsi,daerah,jenis,tahun,peng,peng_asli,cluster
ACEH,PERDESAAN,MAKANAN,2007,195176.0,195176.0,0
ACEH,PERDESAAN,MAKANAN,2008,218781.0,218781.0,0
ACEH,PERDESAAN,MAKANAN,2009,247427.0,247427.0,0
ACEH,PERDESAAN,MAKANAN,2010,275749.0,275749.0,0
ACEH,PERDESAAN,MAKANAN,2011,308000.0,308000.0,0
ACEH,PERDESAAN,MAKANAN,2012,326182.0,326182.0,0
ACEH,PERDESAAN,MAKANAN,2013,337761.0,337761.0,0
ACEH,PERDESAAN,MAKANAN,2014,368080.0,368080.0,0
ACEH,PERDESAAN,MAKANAN,2015,395136.0,395136.0,0
ACEH,PERDESAAN,MAKANAN,2016,412251.0,412251.0,0
ACEH,PERDESAAN,MAKANAN,2017,494150.0,494150.0,0
ACEH,PERDESAAN,MAKANAN,2018,506656.0,506656.0,0
ACEH,PERDESAAN,MAKANAN,2019,520759.0,520759.0,0
ACEH,PERDESAAN,MAKANAN,2020,566947.0,566947.0,0
ACEH,PERDESAAN,MAKANAN,2021,597940.0,597940.0,0
ACEH,PERDESAAN,MAKANAN,2022,633566.0,633566.0,0
ACEH,PERDESAAN,NONMAKANAN,2007,101285.0,101285.0,0
ACEH,PERDESAAN,NONMAKANAN,2008,112507.0,112507.0,0
ACEH,PERDESAAN,NONMAKANAN,2009,121818.0,121818.0,0
ACEH,PERDESAAN,NONMAKANAN,2010,139779.0,139779.0,0
ACEH,PERDESAAN,NONMAKANAN,2011,166699.0,166699.0,0
ACEH,PERDESAAN,NONMAKANAN,2012,166064.0,166064.0,0
ACEH,PERDESAAN,NONMAKANAN,2013,171013.0,171013.0,0
ACEH,PERDESAAN,NONMAKANAN,2014,195503.0,195503.0,0
ACEH,PERDESAAN,NONMAKANAN,2015,260183.0,260183.0,0
ACEH,PERDESAAN,NONMAKANAN,2016,272829.0,272829.0,0
ACEH,PERDESAAN,NONMAKANAN,2017,287004.0,287004.0,0
ACEH,PERDESAAN,NONMAKANAN,2018,331248.0,331248.0,0
ACEH,PERDESAAN,NONMAKANAN,2019,334915.0,334915.0,0
ACEH,PERDESAAN,NONMAKANAN,2020,378673.0,378673.0,0
ACEH,PERDESAAN,NONMAKANAN,2021,378673.0,378673.0,0
ACEH,PERDESAAN,NONMAKANAN,2022,406040.0,406040.0,0
ACEH,PERDESAAN,TOTAL,2007,296461.0,296461.0,0
ACEH,PERDESAAN,TOTAL,2008,331288.0,331288.0,0
ACEH,PERDESAAN,TOTAL,2009,369245.0,369245.0,0
ACEH,PERDESAAN,TOTAL,2010,415528.0,415528.0,0
ACEH,PERDESAAN,TOTAL,2011,474699.0,474699.0,0
ACEH,PERDESAAN,TOTAL,2012,492246.0,492246.0,0
ACEH,PERDESAAN,TOTAL,2013,508774.0,508774.0,0
ACEH,PERDESAAN,TOTAL,2014,563583.0,563583.0,0
ACEH,PERDESAAN,TOTAL,2015,655319.0,655319.0,1
ACEH,PERDESAAN,TOTAL,2016,685080.0,685080.0,1
ACEH,PERDESAAN,TOTAL,2017,781155.0,781155.0,1
ACEH,PERDESAAN,TOTAL,2018,837905.0,837905.0,1
ACEH,PERDESAAN,TOTAL,2019,855674.0,855674.0,1
ACEH,PERDESAAN,TOTAL,2020,945621.0,945621.0,1
ACEH,PERDESAAN,TOTAL,2021,976613.0,976613.0,1
ACEH,PERDESAAN,TOTAL,2022,1039606.0,1039606.0,1
ACEH,PERKOTAAN,MAKANAN,2007,226639.0,226639.0,0
ACEH,PERKOTAAN,MAKANAN,2008,258233.00000000006,258233.0,0
ACEH,PERKOTAAN,MAKANAN,2009,315245.0,315245.0,0
ACEH,PERKOTAAN,MAKANAN,2010,341142.0,341142.0,0
ACEH,PERKOTAAN,MAKANAN,2011,383579.0,383579.0,0
ACEH,PERKOTAAN,MAKANAN,2012,432567.0,432567.0,0
ACEH,PERKOTAAN,MAKANAN,2013,458451.0,458451.0,0
ACEH,PERKOTAAN,MAKANAN,2014,505525.0,505525.0,0
ACEH,PERKOTAAN,MAKANAN,2015,466355.0,466355.0,0
ACEH,PERKOTAAN,MAKANAN,2016,548853.0,548853.0,0
ACEH,PERKOTAAN,MAKANAN,2017,610732.0,610732.0,0
ACEH,PERKOTAAN,MAKANAN,2018,637432.0,637432.0,0
ACEH,PERKOTAAN,MAKANAN,2019,639421.0,639421.0,0
ACEH,PERKOTAAN,MAKANAN,2020,655222.0,655222.0,1
ACEH,PERKOTAAN,MAKANAN,2021,734401.0,734401.0,1
ACEH,PERKOTAAN,MAKANAN,2022,736172.0,736172.0,1
ACEH,PERKOTAAN,NONMAKANAN,2007,210374.0,210374.0,0
ACEH,PERKOTAAN,NONMAKANAN,2008,249377.0,249377.0,0
ACEH,PERKOTAAN,NONMAKANAN,2009,256204.0,256204.0,0
ACEH,PERKOTAAN,NONMAKANAN,2010,307607.0,307607.0,0
ACEH,PERKOTAAN,NONMAKANAN,2011,373271.0,373271.0,0
ACEH,PERKOTAAN,NONMAKANAN,2012,385949.0,385949.0,0
ACEH,PERKOTAAN,NONMAKANAN,2013,470393.0,470393.0,0
ACEH,PERKOTAAN,NONMAKANAN,2014,470402.0,470402.0,0
ACEH,PERKOTAAN,NONMAKANAN,2015,529945.0,529945.0,0
ACEH,PERKOTAAN,NONMAKANAN,2016,559492.0,559492.0,0
ACEH,PERKOTAAN,NONMAKANAN,2017,576134.0,576134.0,0
ACEH,PERKOTAAN,NONMAKANAN,2018,633864.0,633864.0,0
ACEH,PERKOTAAN,NONMAKANAN,2019,640399.0,640399.0,0
ACEH,PERKOTAAN,NONMAKANAN,2020,704431.0,704431.0,1
ACEH,PERKOTAAN,NONMAKANAN,2021,724090.0,724090.0,1
ACEH,PERKOTAAN,NONMAKANAN,2022,716409.0,716409.0,1
ACEH,PERKOTAAN,TOTAL,2007,437013.0,437013.0,0
ACEH,PERKOTAAN,TOTAL,2008,507609.0,507609.0,0
ACEH,PERKOTAAN,TOTAL,2009,571449.0,571449.0,0
ACEH,PERKOTAAN,TOTAL,2010,648749.0,648749.0,0
ACEH,PERKOTAAN,TOTAL,2011,756850.0,756850.0,1
ACEH,PERKOTAAN,TOTAL,2012,818516.0,818516.0,1
ACEH,PERKOTAAN,TOTAL,2013,928844.0,928844.0,1
ACEH,PERKOTAAN,TOTAL,2014,975927.0,975927.0,1
ACEH,PERKOTAAN,TOTAL,2015,996300.0,996300.0,1
ACEH,PERKOTAAN,TOTAL,2016,1108346.0,1108346.0,1
ACEH,PERKOTAAN,TOTAL,2017,1186867.0,1186867.0,1
ACEH,PERKOTAAN,TOTAL,2018,1271297.0,1271297.0,1
ACEH,PERKOTAAN,TOTAL,2019,1279820.0,1279820.0,1
ACEH,PERKOTAAN,TOTAL,2020,1359653.0,1359653.0,1
ACEH,PERDESAANPERKOTAAN,MAKANAN,2011,329257.0,329257.0,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2012,356132.0,356132.0,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2013,371838.0,371838.0,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2014,406835.0,406835.0,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2015,415354.0,415354.0,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2016,451952.0,451952.0,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2017,529161.0,529161.0,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2018,547668.0,547668.0,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2019,559299.0,559299.0,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2020,595634.0,595634.0,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2021,643591.0,643591.0,0
ACEH,PERDESAANPERKOTAAN,MAKANAN,2022,668480.0,668480.0,1
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2011,224798.0,224798.0,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2012,227968.00000000006,227968.0,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2013,255543.0,255543.0,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2014,273015.0,273015.0,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2015,336764.0,336764.0,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2016,356142.0,356142.0,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2017,373833.0,373833.0,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2018,426149.0,426149.0,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2019,434133.0,434133.0,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2020,484536.0,484536.0,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2021,494227.0,494227.0,0
ACEH,PERDESAANPERKOTAAN,NONMAKANAN,2022,511651.0,511651.0,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2011,554055.0,554055.0,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2012,584100.0,584100.0,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2013,627381.0,627381.0,0
ACEH,PERDESAANPERKOTAAN,TOTAL,2014,679850.0,679850.0,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2015,752118.0,752118.0,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2016,808094.0,808094.0,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2017,902994.0,902994.0,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2018,973817.0,973817.0,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2019,993433.0,993433.0,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2020,1080171.0,1080171.0,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2021,1137819.0,1137819.0,1
ACEH,PERDESAANPERKOTAAN,TOTAL,2022,1180132.0,1180132.0,1
SUMATERA UTARA,PERDESAAN,MAKANAN,2007,171299.0,171299.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2008,198301.00000000006,198301.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2009,219171.0,219171.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2010,248859.0,248859.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2011,308555.0,308555.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2012,340053.0,340053.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2013,363252.0,363252.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2014,382056.0,382056.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2015,413087.0,413087.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2016,450979.0,450979.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2017,490603.0,490603.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2018,519512.0,519512.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2019,533737.0,533737.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2020,544441.0,544441.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2021,579669.0,579669.0,0
SUMATERA UTARA,PERDESAAN,MAKANAN,2022,631364.0,631364.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2007,110453.00000000006,110453.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2008,119975.0,119975.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2009,127622.0,127622.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2010,150408.0,150408.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2011,185619.0,185619.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2012,194661.0,194661.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2013,207533.0,207533.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2014,222017.0,222017.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2015,269407.0,269407.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2016,287255.0,287255.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2017,278114.0,278114.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2018,337487.0,337487.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2019,369051.0,369051.0,0
SUMATERA UTARA,PERDESAAN,NONMAKANAN,2020,390593.0,390593.0,0
